Company,City,Robot_Type,Department,Tasks_Assigned,Tasks_Completed,Completion_Rate,Date,Robot_Status
Mobily,Dhahran,Inspection Robot,Logistics,152,149,98.0,2024-03-31,Active
King Saud University,Jubail,Inspection Robot,Logistics,196,177,90.3,2024-03-28,Active
Saudi Electricity Company,Mecca,Task Organizer,Production,290,269,92.8,2024-02-02,Active
Dar Al Riyadh,Jubail,Service Robot,IT,227,206,90.7,2024-04-09,Active
Saudi Aramco,Mecca,Sorting Robot,Logistics,71,62,87.3,2024-04-25,Active
King Saud University,Dhahran,Cleaning Robot,Production,119,103,86.6,2024-01-04,Active
Riyadh Airports,Mecca,Task Organizer,Healthcare,134,123,91.8,2024-04-15,Active
Alinma Bank,Al Kharj,Inspection Robot,Healthcare,163,162,99.4,2024-01-15,Needs Maintenance
National Water Company,Mecca,Inspection Robot,Logistics,81,65,80.2,2024-04-29,Active
Saudi Electricity Company,Dhahran,Sorting Robot,IT,239,222,92.9,2024-03-02,Active
King Saud University,Jubail,Sorting Robot,Logistics,253,207,81.8,2024-02-11,Active
Binladin Group,Dhahran,Task Organizer,Customer Service,89,74,83.1,2024-02-12,Active
King Saud University,Riyadh,Task Organizer,Healthcare,113,99,87.6,2024-04-08,Active
King Fahd Medical City,Abha,Medical Assistant,Customer Service,250,227,90.8,2024-01-08,Inactive
STC,Abha,Delivery Robot,Security,70,56,80.0,2024-03-10,Active
SABIC,Jeddah,Inspection Robot,Facility Management,192,191,99.5,2024-04-20,Under Repair
National Water Company,Mecca,Medical Assistant,Security,262,260,99.2,2024-05-07,Active
Alhokair Group,Jubail,Service Robot,Administration,178,150,84.3,2024-03-01,Needs Maintenance
STC,Mecca,Inspection Robot,Security,43,42,97.7,2024-03-07,Active
Saudi Post,Al Kharj,Sorting Robot,Security,230,189,82.2,2024-04-10,Needs Maintenance
Dar Al Riyadh,Jubail,Medical Assistant,Logistics,271,234,86.3,2024-04-21,Active
STC,Dammam,Task Organizer,IT,68,63,92.6,2024-04-08,Active
Saudi Post,Madinah,Cleaning Robot,Logistics,85,84,98.8,2024-05-04,Needs Maintenance
STC,Dammam,Cleaning Robot,Administration,73,61,83.6,2024-01-16,Active
Al Rajhi Bank,Tabuk,Delivery Robot,Customer Service,64,53,82.8,2024-04-18,Active
National Water Company,Jubail,Cleaning Robot,Facility Management,70,58,82.9,2024-02-02,Active
Mobily,Abha,Sorting Robot,Healthcare,119,96,80.7,2024-01-11,Active
Alhokair Group,Abha,Medical Assistant,Logistics,63,60,95.2,2024-01-31,Active
Al Rajhi Bank,Riyadh,Delivery Robot,Facility Management,59,49,83.1,2024-05-17,Active
STC,Jubail,Medical Assistant,Facility Management,146,140,95.9,2024-02-06,Active
National Water Company,Abha,Task Organizer,IT,199,169,84.9,2024-01-27,Active
SABIC,Jeddah,Cleaning Robot,Logistics,192,183,95.3,2024-03-09,Active
Saudi Red Crescent,Dammam,Cleaning Robot,Logistics,72,63,87.5,2024-01-28,Active
STC,Abha,Task Organizer,Production,61,49,80.3,2024-03-04,Under Repair
Binladin Group,Madinah,Task Organizer,Logistics,88,84,95.5,2024-04-13,Active
Dar Al Riyadh,Madinah,Service Robot,Security,171,157,91.8,2024-01-07,Inactive
Saudi Post,Jeddah,Medical Assistant,Customer Service,156,127,81.4,2024-02-14,Active
Saudi Aramco,Riyadh,Inspection Robot,Logistics,205,176,85.9,2024-01-14,Active
Alinma Bank,Jeddah,Cleaning Robot,Healthcare,192,166,86.5,2024-02-26,Active
Riyadh Airports,Al Kharj,Cleaning Robot,Logistics,35,29,82.9,2024-01-25,Active
Binladin Group,Abha,Task Organizer,Customer Service,184,183,99.5,2024-04-07,Active
Dar Al Riyadh,Mecca,Sorting Robot,Administration,119,111,93.3,2024-01-07,Active
Almarai,Jubail,Sorting Robot,IT,258,207,80.2,2024-02-21,Active
Saudi Post,Riyadh,Sorting Robot,Facility Management,119,112,94.1,2024-04-17,Needs Maintenance
King Fahd Medical City,Tabuk,Sorting Robot,IT,207,178,86.0,2024-05-08,Needs Maintenance
STC,Jeddah,Inspection Robot,Production,220,219,99.5,2024-04-22,Active
National Water Company,Mecca,Medical Assistant,Logistics,265,237,89.4,2024-01-29,Active
Saudi Aramco,Jeddah,Medical Assistant,Facility Management,171,145,84.8,2024-02-19,Active
Mobily,Abha,Medical Assistant,IT,276,224,81.2,2024-05-02,Needs Maintenance
National Water Company,Dhahran,Service Robot,Administration,60,55,91.7,2024-04-14,Active
Alinma Bank,Al Kharj,Service Robot,Customer Service,269,257,95.5,2024-01-31,Inactive
Riyadh Airports,Dhahran,Inspection Robot,Administration,48,43,89.6,2024-03-28,Active
Ma'aden,Tabuk,Sorting Robot,IT,247,241,97.6,2024-03-13,Active
Saudi Post,Riyadh,Cleaning Robot,Facility Management,50,42,84.0,2024-04-12,Active
Al Rajhi Bank,Jubail,Service Robot,Logistics,52,42,80.8,2024-01-19,Active
Saudi German Hospital,Riyadh,Medical Assistant,IT,149,135,90.6,2024-03-04,Active
Saudi Aramco,Mecca,Medical Assistant,Logistics,93,90,96.8,2024-04-19,Active
Binladin Group,Abha,Service Robot,Administration,41,36,87.8,2024-05-19,Active
Mobily,Dhahran,Cleaning Robot,IT,285,267,93.7,2024-03-03,Under Repair
Saudi German Hospital,Tabuk,Delivery Robot,Logistics,289,279,96.5,2024-04-08,Active
Riyadh Airports,Mecca,Service Robot,Customer Service,193,170,88.1,2024-01-02,Active
Alinma Bank,Dhahran,Sorting Robot,Facility Management,152,126,82.9,2024-01-22,Inactive
SABIC,Mecca,Inspection Robot,Healthcare,60,55,91.7,2024-05-20,Active
Alhokair Group,Abha,Cleaning Robot,Production,145,126,86.9,2024-04-10,Active
Saudi Aramco,Jubail,Service Robot,Facility Management,35,30,85.7,2024-03-10,Needs Maintenance
Tasnee,Abha,Service Robot,Production,114,100,87.7,2024-03-28,Active
Saudi German Hospital,Abha,Sorting Robot,IT,168,149,88.7,2024-02-25,Active
Tasnee,Riyadh,Task Organizer,Administration,115,95,82.6,2024-04-04,Inactive
Saudi German Hospital,Dhahran,Service Robot,Production,192,163,84.9,2024-05-08,Active
Dar Al Riyadh,Tabuk,Inspection Robot,Facility Management,83,77,92.8,2024-02-26,Active
Saudi Post,Mecca,Inspection Robot,Customer Service,278,242,87.1,2024-05-14,Active
Saudi Post,Jeddah,Medical Assistant,IT,145,124,85.5,2024-04-05,Active
Saudi Aramco,Dhahran,Service Robot,Logistics,39,36,92.3,2024-04-13,Active
Saudi German Hospital,Mecca,Medical Assistant,Security,268,241,89.9,2024-04-25,Active
King Saud University,Al Kharj,Sorting Robot,Healthcare,264,236,89.4,2024-05-06,Active
National Water Company,Riyadh,Task Organizer,Security,43,42,97.7,2024-01-22,Active
Almarai,Dhahran,Cleaning Robot,Administration,106,104,98.1,2024-02-03,Active
Alinma Bank,Riyadh,Inspection Robot,Security,296,280,94.6,2024-03-18,Active
Saudi Electricity Company,Dammam,Sorting Robot,Logistics,102,101,99.0,2024-05-07,Active
National Water Company,Mecca,Delivery Robot,Logistics,73,70,95.9,2024-03-05,Active
Riyadh Airports,Dammam,Delivery Robot,Security,130,127,97.7,2024-05-15,Active
Alhokair Group,Abha,Service Robot,Logistics,220,185,84.1,2024-01-17,Active
Ma'aden,Tabuk,Service Robot,Facility Management,118,116,98.3,2024-03-01,Active
Binladin Group,Al Kharj,Task Organizer,Facility Management,188,157,83.5,2024-04-12,Active
Tasnee,Jubail,Inspection Robot,Administration,30,30,100.0,2024-03-20,Active
STC,Riyadh,Inspection Robot,Logistics,297,283,95.3,2024-02-18,Active
National Water Company,Abha,Medical Assistant,IT,62,56,90.3,2024-02-04,Active
Alinma Bank,Jeddah,Medical Assistant,Customer Service,194,160,82.5,2024-03-16,Needs Maintenance
Mobily,Abha,Service Robot,Healthcare,155,143,92.3,2024-04-27,Active
Riyadh Airports,Al Kharj,Delivery Robot,Facility Management,256,240,93.8,2024-01-13,Active
King Saud University,Mecca,Sorting Robot,Healthcare,206,197,95.6,2024-02-17,Active
National Water Company,Riyadh,Service Robot,IT,120,117,97.5,2024-04-21,Active
Ma'aden,Madinah,Delivery Robot,Logistics,149,131,87.9,2024-01-14,Needs Maintenance
Riyadh Airports,Mecca,Service Robot,Administration,49,43,87.8,2024-01-25,Inactive
Almarai,Tabuk,Sorting Robot,Facility Management,184,182,98.9,2024-02-14,Active
National Water Company,Dammam,Sorting Robot,Healthcare,32,30,93.8,2024-03-10,Active
Saudi Electricity Company,Abha,Delivery Robot,Administration,206,186,90.3,2024-04-20,Active
Riyadh Airports,Jubail,Cleaning Robot,Production,151,141,93.4,2024-05-12,Active
Tasnee,Dammam,Cleaning Robot,IT,294,287,97.6,2024-05-09,Active
STC,Dammam,Medical Assistant,Healthcare,154,153,99.4,2024-04-26,Under Repair
National Water Company,Madinah,Inspection Robot,Healthcare,261,216,82.8,2024-02-01,Active
Al Rajhi Bank,Mecca,Task Organizer,Facility Management,158,140,88.6,2024-02-24,Active
Riyadh Airports,Abha,Service Robot,Administration,77,62,80.5,2024-03-05,Needs Maintenance
Saudi Aramco,Al Kharj,Task Organizer,Production,221,207,93.7,2024-05-08,Active
Saudi Electricity Company,Madinah,Medical Assistant,Production,192,180,93.8,2024-01-22,Active
Binladin Group,Jeddah,Delivery Robot,Logistics,175,171,97.7,2024-05-01,Inactive
Alhokair Group,Jubail,Cleaning Robot,Customer Service,208,172,82.7,2024-03-09,Active
Ma'aden,Riyadh,Medical Assistant,IT,163,149,91.4,2024-02-09,Active
Saudi Aramco,Jubail,Task Organizer,Logistics,272,241,88.6,2024-04-19,Active
Al Rajhi Bank,Madinah,Inspection Robot,Administration,270,258,95.6,2024-01-02,Inactive
Saudi Electricity Company,Abha,Delivery Robot,Healthcare,109,90,82.6,2024-02-18,Active
Binladin Group,Madinah,Sorting Robot,Logistics,46,39,84.8,2024-01-07,Inactive
King Saud University,Jeddah,Inspection Robot,Administration,34,32,94.1,2024-02-07,Active
Dar Al Riyadh,Dhahran,Inspection Robot,IT,149,147,98.7,2024-03-22,Active
Tasnee,Al Kharj,Task Organizer,Security,194,160,82.5,2024-05-14,Needs Maintenance
Binladin Group,Tabuk,Medical Assistant,Customer Service,31,27,87.1,2024-02-04,Active
Mobily,Jubail,Medical Assistant,Security,74,69,93.2,2024-05-03,Active
King Saud University,Tabuk,Cleaning Robot,IT,276,246,89.1,2024-01-15,Active
National Water Company,Jubail,Inspection Robot,Facility Management,193,187,96.9,2024-04-20,Active
Saudi Red Crescent,Al Kharj,Delivery Robot,Healthcare,150,135,90.0,2024-04-19,Active
King Saud University,Jubail,Cleaning Robot,IT,53,47,88.7,2024-04-13,Active
STC,Madinah,Sorting Robot,Healthcare,291,264,90.7,2024-05-15,Active
STC,Dammam,Cleaning Robot,Logistics,222,204,91.9,2024-03-22,Active
Binladin Group,Abha,Inspection Robot,Customer Service,225,193,85.8,2024-02-29,Active
Ma'aden,Riyadh,Cleaning Robot,Facility Management,298,248,83.2,2024-04-28,Active
Saudi German Hospital,Mecca,Service Robot,Administration,88,76,86.4,2024-02-14,Active
Alinma Bank,Jeddah,Medical Assistant,Customer Service,159,146,91.8,2024-02-18,Active
Riyadh Airports,Jeddah,Delivery Robot,Logistics,291,250,85.9,2024-03-29,Active
Ma'aden,Jubail,Delivery Robot,Healthcare,282,246,87.2,2024-01-30,Inactive
Saudi German Hospital,Al Kharj,Inspection Robot,Administration,218,198,90.8,2024-02-08,Active
Saudi Red Crescent,Al Kharj,Inspection Robot,Logistics,51,51,100.0,2024-02-15,Active
Al Rajhi Bank,Jubail,Sorting Robot,Healthcare,261,239,91.6,2024-01-22,Active
SABIC,Riyadh,Cleaning Robot,Healthcare,262,214,81.7,2024-03-15,Needs Maintenance
Saudi Electricity Company,Al Kharj,Inspection Robot,Production,110,109,99.1,2024-01-27,Active
Alinma Bank,Al Kharj,Delivery Robot,Security,74,63,85.1,2024-04-13,Active
Alinma Bank,Riyadh,Inspection Robot,Security,89,81,91.0,2024-01-11,Active
Dar Al Riyadh,Abha,Task Organizer,Administration,86,81,94.2,2024-04-17,Active
Saudi Electricity Company,Jeddah,Medical Assistant,Customer Service,254,224,88.2,2024-02-08,Active
Tasnee,Mecca,Task Organizer,Production,79,69,87.3,2024-03-12,Active
Tasnee,Abha,Task Organizer,Customer Service,229,204,89.1,2024-04-12,Active
Binladin Group,Mecca,Inspection Robot,Logistics,275,234,85.1,2024-01-22,Active
Mobily,Abha,Sorting Robot,Production,35,35,100.0,2024-05-16,Active
Saudi Post,Abha,Service Robot,Logistics,159,129,81.1,2024-03-03,Inactive
Saudi German Hospital,Jubail,Inspection Robot,Customer Service,34,28,82.4,2024-02-12,Active
Alinma Bank,Jeddah,Task Organizer,Production,175,146,83.4,2024-03-10,Active
Riyadh Airports,Abha,Task Organizer,Security,222,202,91.0,2024-02-22,Active
Almarai,Jubail,Medical Assistant,Logistics,46,37,80.4,2024-01-11,Active
STC,Jeddah,Cleaning Robot,Security,129,114,88.4,2024-01-21,Active
Saudi Electricity Company,Al Kharj,Inspection Robot,IT,237,212,89.5,2024-05-15,Active
Saudi Aramco,Jubail,Service Robot,Production,168,149,88.7,2024-03-07,Active
Almarai,Dammam,Service Robot,Administration,48,45,93.8,2024-01-27,Active
SABIC,Madinah,Delivery Robot,Customer Service,234,194,82.9,2024-05-14,Active
STC,Al Kharj,Task Organizer,Security,168,138,82.1,2024-04-24,Active
Al Rajhi Bank,Tabuk,Delivery Robot,Facility Management,194,169,87.1,2024-04-10,Active
Saudi Electricity Company,Al Kharj,Delivery Robot,Security,105,87,82.9,2024-04-05,Active
Binladin Group,Al Kharj,Medical Assistant,Logistics,255,239,93.7,2024-02-21,Active
Tasnee,Al Kharj,Cleaning Robot,Customer Service,30,30,100.0,2024-01-23,Active
Saudi German Hospital,Dhahran,Inspection Robot,Security,79,66,83.5,2024-05-07,Inactive
Saudi Post,Madinah,Service Robot,Facility Management,40,38,95.0,2024-04-17,Active
Saudi Electricity Company,Madinah,Service Robot,Facility Management,240,201,83.8,2024-04-17,Active
Mobily,Jubail,Cleaning Robot,Customer Service,257,231,89.9,2024-03-18,Active
National Water Company,Al Kharj,Medical Assistant,Logistics,188,165,87.8,2024-02-24,Active
SABIC,Jubail,Delivery Robot,Production,220,201,91.4,2024-01-25,Active
Dar Al Riyadh,Mecca,Task Organizer,Security,209,173,82.8,2024-03-18,Active
Saudi Red Crescent,Jeddah,Delivery Robot,Healthcare,155,140,90.3,2024-01-03,Under Repair
Al Rajhi Bank,Al Kharj,Sorting Robot,Healthcare,249,200,80.3,2024-01-14,Active
Binladin Group,Al Kharj,Cleaning Robot,Healthcare,293,237,80.9,2024-05-04,Active
Alhokair Group,Jeddah,Inspection Robot,Healthcare,55,48,87.3,2024-03-25,Inactive
National Water Company,Abha,Cleaning Robot,Administration,168,159,94.6,2024-01-04,Active
Alhokair Group,Riyadh,Task Organizer,Security,133,132,99.2,2024-01-20,Active
SABIC,Jubail,Inspection Robot,Facility Management,231,216,93.5,2024-01-30,Active
Al Rajhi Bank,Abha,Sorting Robot,Facility Management,81,65,80.2,2024-04-29,Needs Maintenance
Saudi Red Crescent,Riyadh,Medical Assistant,Facility Management,289,259,89.6,2024-03-04,Needs Maintenance
Saudi Aramco,Madinah,Task Organizer,Healthcare,239,237,99.2,2024-03-17,Active
Mobily,Mecca,Inspection Robot,Customer Service,140,117,83.6,2024-03-10,Active
SABIC,Dhahran,Delivery Robot,Healthcare,206,179,86.9,2024-01-20,Active
King Saud University,Jeddah,Sorting Robot,Healthcare,229,221,96.5,2024-04-07,Active
King Fahd Medical City,Dammam,Service Robot,IT,34,32,94.1,2024-01-28,Active
Al Rajhi Bank,Riyadh,Sorting Robot,Logistics,53,46,86.8,2024-05-16,Needs Maintenance
Al Rajhi Bank,Mecca,Task Organizer,Production,92,78,84.8,2024-03-30,Inactive
Ma'aden,Dammam,Sorting Robot,Administration,276,266,96.4,2024-04-14,Active
Tasnee,Dammam,Medical Assistant,Logistics,227,198,87.2,2024-02-28,Active
Binladin Group,Tabuk,Cleaning Robot,Facility Management,92,75,81.5,2024-03-12,Active
Saudi Electricity Company,Dhahran,Medical Assistant,IT,156,142,91.0,2024-03-05,Active
Ma'aden,Dhahran,Medical Assistant,Security,139,113,81.3,2024-02-16,Active
Almarai,Tabuk,Delivery Robot,IT,228,199,87.3,2024-05-08,Active
SABIC,Tabuk,Task Organizer,Customer Service,289,273,94.5,2024-02-23,Active
National Water Company,Dhahran,Medical Assistant,Production,205,198,96.6,2024-01-15,Needs Maintenance
Alhokair Group,Mecca,Medical Assistant,Healthcare,149,148,99.3,2024-05-05,Active
Alinma Bank,Riyadh,Task Organizer,IT,158,134,84.8,2024-03-02,Active
King Fahd Medical City,Dhahran,Sorting Robot,Logistics,180,168,93.3,2024-02-05,Active
Almarai,Abha,Inspection Robot,IT,247,200,81.0,2024-01-27,Active
King Fahd Medical City,Tabuk,Task Organizer,Production,261,231,88.5,2024-03-17,Active
Ma'aden,Dhahran,Medical Assistant,Facility Management,30,29,96.7,2024-01-22,Active
Mobily,Jeddah,Inspection Robot,Healthcare,93,85,91.4,2024-02-06,Active
Al Rajhi Bank,Abha,Medical Assistant,Security,196,162,82.7,2024-04-11,Active
Ma'aden,Mecca,Service Robot,Logistics,127,117,92.1,2024-05-10,Under Repair
Saudi Aramco,Mecca,Medical Assistant,Facility Management,66,66,100.0,2024-04-04,Active
King Fahd Medical City,Riyadh,Medical Assistant,Customer Service,146,119,81.5,2024-02-09,Active
Alhokair Group,Riyadh,Sorting Robot,Production,53,49,92.5,2024-05-09,Active
Saudi German Hospital,Riyadh,Cleaning Robot,Production,30,28,93.3,2024-03-28,Active
Dar Al Riyadh,Dhahran,Task Organizer,Logistics,171,170,99.4,2024-03-27,Active
King Fahd Medical City,Dammam,Medical Assistant,Logistics,206,193,93.7,2024-04-12,Needs Maintenance
Saudi Red Crescent,Dhahran,Inspection Robot,Logistics,290,265,91.4,2024-04-23,Under Repair
Saudi German Hospital,Dhahran,Delivery Robot,Administration,225,213,94.7,2024-01-12,Inactive
Mobily,Dhahran,Sorting Robot,Facility Management,206,177,85.9,2024-05-12,Active
STC,Dammam,Delivery Robot,Production,156,128,82.1,2024-04-12,Inactive
Alinma Bank,Tabuk,Service Robot,Logistics,159,131,82.4,2024-01-25,Active
Tasnee,Jubail,Task Organizer,Production,239,193,80.8,2024-02-09,Active
Saudi German Hospital,Jubail,Service Robot,Production,199,162,81.4,2024-03-17,Active
SABIC,Jubail,Inspection Robot,Production,234,197,84.2,2024-02-16,Active
Alinma Bank,Riyadh,Cleaning Robot,Healthcare,278,270,97.1,2024-01-23,Active
Riyadh Airports,Tabuk,Medical Assistant,Facility Management,38,32,84.2,2024-03-16,Active
Saudi Electricity Company,Tabuk,Inspection Robot,Healthcare,265,230,86.8,2024-03-01,Active
Saudi Red Crescent,Jubail,Sorting Robot,IT,115,115,100.0,2024-04-14,Active
Tasnee,Mecca,Task Organizer,Customer Service,59,55,93.2,2024-03-11,Active
King Fahd Medical City,Mecca,Inspection Robot,Administration,53,53,100.0,2024-02-06,Active
Saudi German Hospital,Al Kharj,Delivery Robot,Administration,214,213,99.5,2024-04-29,Active
Alinma Bank,Al Kharj,Sorting Robot,Logistics,259,234,90.3,2024-04-23,Active
Tasnee,Riyadh,Delivery Robot,IT,183,147,80.3,2024-03-11,Active
Saudi Red Crescent,Al Kharj,Cleaning Robot,Logistics,149,126,84.6,2024-01-25,Active
Riyadh Airports,Tabuk,Service Robot,Administration,223,207,92.8,2024-04-05,Active
Alhokair Group,Dhahran,Sorting Robot,Healthcare,284,233,82.0,2024-04-03,Active
Saudi Post,Madinah,Service Robot,Logistics,142,115,81.0,2024-02-09,Active
Binladin Group,Abha,Sorting Robot,Facility Management,99,88,88.9,2024-02-01,Active
King Saud University,Mecca,Sorting Robot,Customer Service,58,47,81.0,2024-05-13,Active
Dar Al Riyadh,Jubail,Service Robot,Security,68,59,86.8,2024-01-02,Under Repair
